Respondent ID,Collector ID,Start Date,Timestamp,1. Postcode,2. Age range,3. Gender,4. Language,5. Belonging,6. Cultural activities,7. Te Reo,8. Cultural knowledge,9. Trust NZ government,10. Trust local council,11. Trust NZ Police,12. Safety,13. Discrimination,14. Loneliness,15. Independence,16. Support in crisis,17. Level of control,18. Volunteering time,19. Paid working hours,20. Job Satisfaction,21. Work life Balance,22. Leisure time,23. Be Yourself in NZ,24. Be Yourself in Newlands,25. Life Satisfaction,26. Meaning and Purpose,27. Family Wellbeing,28. Access to Natural Environment,29. Work Travel Time,30. Basic Life Skills,31. Newlands Resident,32. Home Disaster Ready,33. Neigbourhood Support Group,34. Out of Newlands During Day,35. Place out of Newland Disaster Ready,36. Vote General election 2020,37. Vote Local elections 2019,38. Satisfaction income,39. Confident in finding a new job,40. Personal mental health,41. Confident water safety,42. Optimal use of land,43. Location,44. Voted General elections 2023,45. Voted Local Elections 2022
,,,06/16/2020 04:18:53 PM,6037,35-44,Male,100,100,37,8,0,38,12,82,100,4,100,100,100,100,0,42,100,56,15,100,100,83,100,100,100,18,100,Yes,No,No,Yes,Yes,,,,,,,,,,
,,,06/16/2020 03:55:32 PM,6037,35-44,,100,100,8,5,7,49,49,79,49,5,50,100,29,52,10,20,50,51,29,100,52,50,52,51,37,20,75,Yes,No,No,No,No,,,,,,,,,,
,,,06/16/2020 01:41:24 PM,6037,65-74,Male,100,90,66,0,52,72,57,71,90,0,99,75,99,80,90,40,90,50,100,85,90,80,95,80,90,35,100,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,06/16/2020 11:53:47 AM,6037,45-54,Female,100,100,100,10,70,70,70,85,50,48,28,75,72,75,69,50,35,40,30,93,50,64,75,89,95,5,99,Yes,Yes,No,No,No,,,,,,,,,,
,,,06/16/2020 11:10:32 AM,6037,45-54,Female,73,99,83,100,100,60,50,60,70,50,50,80,90,95,100,25,60,50,80,75,72,65,80,95,85,25,90,Yes,Yes,Yes,No,Yes,,,,,,,,,,
,,,06/16/2020 10:59:37 AM,6037,45-54,Male,100,100,82,5,37,80,72,90,79,15,82,49,77,75,64,45,87,50,27,100,99,86,90,78,83,25,87,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,,,06/16/2020 09:53:32 AM,6037,18-24,Female,100,100,50,60,59,100,100,100,38,100,13,41,13,40,100,51,69,23,31,100,70,29,52,79,51,36,24,No,,,,,,,,,,,,,,
,,,06/16/2020 09:52:25 AM,6037,55-64,Female,100,100,32,6,5,79,30,78,69,0,58,0,3,0,56,1,,,31,53,53,41,42,47,78,,100,Yes,No,,No,,,,,,,,,,,
,,,06/16/2020 09:37:16 AM,6037,45-54,Male,100,79,51,0,2,44,33,0,76,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06/15/2020 10:46:12 PM,6037,25-34,Female,100,100,50,6,43,60,100,56,31,70,74,100,100,80,80,0,0,100,6,66,100,80,100,100,80,0,100,Yes,No,No,No,No,,,,,,,,,,
,,,06/15/2020 08:03:50 AM,6037,35-44,Female,71,40,44,15,50,60,50,90,46,80,19,86,50,56,5,40,49,24,10,27,84,46,60,53,51,58,56,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,,,06/14/2020 09:40:14 PM,6037,55-64,Male,100,100,0,0,0,90,80,95,50,23,90,80,95,90,75,70,80,50,50,100,100,50,90,80,100,0,95,Yes,Yes,No,No,,,,,,,,,,,
,,,06/14/2020 04:03:20 PM,6037,55-64,Male,100,77,0,3,31,51,82,79,77,0,99,91,34,56,87,49,95,50,15,79,74,83,100,72,89,6,57,Yes,No,No,No,,,,,,,,,,,
,,,06/13/2020 12:08:20 PM,6037,65-74,Female,100,100,0,0,0,87,51,91,51,0,100,100,80,100,60,2,,100,99,,100,100,100,98,100,,100,Yes,No,,,,,,,,,,,,,
