Timestamp,1. Postcode,2. Age range,3. Gender,4. Language,5. Belonging,6. Cultural activities,7. Te Reo,8. Cultural knowledge,9. Trust NZ government,voted 2020 General Election?,10. Trust local council,voted 2019 Local Elections?,11. Trust NZ Police,12. Safety,13. Discrimination,14. Loneliness,15. Independence,16. Support in crisis,17. Level of control,18. Volunteering time,19. Paid working hours,20. Job Satisfaction,38. Satisfaction income,39. Confident in finding a new job,21. Work life Balance,22. Leisure time,23. Be Yourself in NZ,24. Be Yourself in Newlands,25. Life Satisfaction,26. Meaning and Purpose,40. Personal mental health,27. Family Wellbeing,28. Access to Natural Environment,41. Confident water safety,42. Optimal use of land,29. Work Travel Time,30. Basic Life Skills,43. Location,32. Home Disaster Ready,33. Neigbourhood Support Group,34. Out of Newlands During Day,35. Place out of Newland Disaster Ready
2021-11-03 00:43:SS,6037,55-64,Female,98,97,91,51,81,75,Yes,30,Yes,82,56,49,91,80,90,75,92,30,85,50,85,80,20,87,76,80,90,52,35,75,61,50,5,97,Johnsonville,Yes,No,No,
2021-11-02 22:30:SS,6037,45-54,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-02 19:01:SS,6037,35-44,Female,100,71,4,1,3,2,Yes,51,No,51,52,2,19,96,46,30,1,37,86,45,18,100,19,51,56,29,2,13,75,77,26,29,51,21,"Newlands, Paparangi, Bellevue or Woodridge",No,No,No,No
2021-11-01 07:42:SS,6037,35-44,Female,100,100,,20,51,80,Yes,81,No,100,85,0,84,100,100,100,2,24,70,70,75,50,6,100,100,82,100,80,86,72,76,65,45,100,"Newlands, Paparangi, Bellevue or Woodridge",Yes,No,Yes,Yes
2021-10-31 21:00:SS,6037,35-44,Female,100,65,0,0,50,50,Yes,50,Yes,40,50,0,40,100,100,100,0,37,40,80,65,50,30,45,100,60,100,50,75,100,60,50,35,100,"Newlands, Paparangi, Bellevue or Woodridge",No,No,No,
2021-10-31 20:36:SS,6037,45-54,Female,96,80,80,50,70,60,Yes,80,Yes,50,50,50,90,85,80,90,90,60,80,80,80,60,10,80,80,80,90,80,90,85,80,60,10,90,Johnsonville,Yes,No,No,Yes
2021-10-17 22:41:SS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15 13:58:SS,6035,65-74,Male,87,100,0,0,0,0,Yes,0,Yes,14,100,0,100,100,100,82,85,30,51,0,44,34,13,98,100,76,100,78,99,88,11,0,40,100,"Khandallah, Broadmeadows or Kaiwharawhara",Yes,Yes,No,Yes
2021-10-15 12:26:SS,6035,65-74,Female,98,99,44,32,0,86,Yes,52,Yes,82,76,0,9,74,94,82,55,0,99,100,30,100,66,97,97,86,93,81,83,99,0,0,0,71,"Khandallah, Broadmeadows or Kaiwharawhara",Yes,Yes,No,Yes
2021-10-05 09:51:SS,,15-18,Male,0,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-03 20:42:SS,6037,45-54,Female,47,87,1,32,93,47,Yes,51,Yes,87,50,0,99,99,67,99,85,26,99,96,64,80,25,99,99,90,90,99,59,84,78,40,5,98,Johnsonville,Yes,Yes,No,
2021-09-30 22:50:SS,6036,45-54,Female,59,100,67,54,83,63,Yes,42,Yes,86,54,27,70,97,88,88,47,40,98,89,73,69,23,72,77,83,90,81,62,51,62,66,25,38,Yes,Yes,No,Yes,Yes
2021-09-29 15:22:SS,6037,45-54,Female,100,75,0,27,76,39,Yes,33,Yes,61,53,0,90,85,90,75,51,23,85,85,85,85,30,50,50,50,60,70,70,75,50,40,26,70,Yes,Yes,No,No,Yes
2021-09-29 13:53:SS,6037,45-54,Female,100,85,52,5,61,70,Yes,70,Yes,48,80,12,97,90,91,91,50,20,83,72,53,89,76,100,100,91,93,89,90,100,91,71,27,86,Yes,No,No,Yes,No
