date,age_range,gender,language,belonging,cultural_activities,te_reo,cultural_knowledge,trust_nz_government,trust_local_council,trust_nz_police,safety,discrimination,loneliness,independence,support_in_crisis,level_of_control,volunteering_time,paid_working_hours,job_satisfaction,work_life_balance,leisure_time,be_yourself_in_nz,be_yourself_in_newlands,life_satisfaction,meaning_and_purpose,family_wellbeing,access_to_natural_environment,work_travel_time,basic_life_skills,newlands_resident,home_disaster_ready,neighbourhood_support_group,out_of_newlands_during_day,place_out_of_newlands_disaster_ready,satisfaction_income,confident_in_finding_a_new_job,confident_water_safety,optimal_use_of_land,personal_mental_health,vote_local_elections_2019,vote_general_election_2020,voted_local_elections_2022,voted_general_elections_2023
11/01/2019,35-44,Female,100,50,0,0,0,26,19,32,57,56,51,51,51,51,47,41,52,51,21,32,33,52,50,44,52,37,51,0,,,,,,,,,,,,,
11/01/2019,35-44,Female,97,97,3,34,31,50,50,50,93,61,70,79,80,86,28,30,50,50,50,93,94,80,80,50,87,50,81,0,,,,,,,,,,,,,
11/01/2019,45-54,Male,92,75,90,0,93,66,69,70,70,46,90,90,95,86,50,46,66,50,30,50,46,50,70,70,69,60,80,0,,,,,,,,,,,,,
11/01/2019,45-54,Male,100,100,0,0,65,33,34,74,100,0,100,74,100,100,22,43,63,100,26,100,100,100,66,100,100,31,100,0,,,,,,,,,,,,,
11/01/2019,35-44,Female,100,100,0,0,50,70,70,100,72,0,100,89,100,100,15,50,50,46,22,100,,50,75,100,100,3,75,0,,,,,,,,,,,,,
11/01/2019,45-54,Male,63,88,55,23,85,66,49,87,50,25,92,67,78,66,84,37,83,86,52,57,58,78,80,78,77,37,74,0,,,,,,,,,,,,,
11/01/2019,45-54,Female,100,100,50,0,20,40,70,40,10,70,70,50,70,60,80,30,40,50,40,50,60,70,60,50,100,20,95,0,,,,,,,,,,,,,
11/01/2019,35-44,Female,100,100,100,11,30,88,89,100,94,1,56,91,80,94,26,30,50,50,23,93,94,51,50,75,50,19,,,,,,,,,,,,,,,
11/01/2019,35-44,Female,100,100,50,0,95,52,50,64,79,0,88,93,82,96,,20,49,50,24,95,,54,88,92,61,36,96,0,,,,,,,,,,,,,
11/01/2019,45-54,Female,98,99,52,19,43,43,52,53,53,0,99,93,86,67,53,40,67,72,50,82,91,86,88,92,87,13,52,0,,,,,,,,,,,,,
11/01/2019,35-44,Male,12,100,68,0,26,54,51,100,76,6,,,,,,,,,,100,99,100,100,83,100,35,57,1,0,0,1,1,,,,,,,,,
11/01/2019,35-44,Female,11,100,100,0,100,60,50,60,60,70,70,85,85,80,80,60,40,40,20,80,80,80,85,80,80,60,80,0,,,,,,,,,,,,,
11/01/2019,35-44,Female,61,66,90,0,90,65,63,90,91,65,50,98,77,94,63,41,50,32,8,70,53,56,77,76,50,60,94,1,,,,,,,,,,,,,
11/01/2019,45-54,Female,100,100,50,0,50,50,50,100,50,0,100,80,50,0,40,50,40,20,60,100,80,80,80,70,30,60,80,0,,,,,,,,,,,,,
11/01/2019,35-44,Female,100,90,52,0,98,50,36,76,82,100,98,98,86,90,0,60,29,0,0,14,83,85,84,88,97,43,98,0,,,,,,,,,,,,,
11/01/2019,65-74,Female,92,95,,,,,,,,,,,,46,0,60,49,50,0,93,,50,48,,25,50,95,0,,,,,,,,,,,,,
11/01/2019,45-54,Male,100,71,0,0,67,52,53,86,70,0,98,70,65,72,70,52,87,64,23,95,85,70,82,66,95,5,89,0,,,,,,,,,,,,,
11/01/2019,35-44,Male,90,50,90,10,50,50,90,90,90,50,90,90,90,50,50,60,80,50,31,90,50,50,80,50,90,50,50,0,,,,,,,,,,,,,
11/01/2019,35-44,Female,100,100,100,0,50,100,100,100,100,1,100,,100,52,99,52,52,50,52,51,50,51,52,99,100,52,97,0,,,,,,,,,,,,,
11/01/2019,35-44,Male,100,100,0,0,0,41,56,77,40,0,86,89,85,76,87,39,54,61,22,87,87,60,63,83,74,11,74,1,0,,,,,,,,,,,,
11/01/2019,35-44,Female,10,100,0,0,0,30,10,65,65,100,50,80,80,90,50,30,69,40,10,30,40,40,40,50,50,41,90,0,,,,,,,,,,,,,
11/01/2019,35-44,Female,100,100,0,0,54,51,51,52,81,54,55,49,75,55,70,0,,,26,71,79,62,55,71,20,,100,0,,,,,,,,,,,,,
11/01/2019,45-54,Female,95,95,94,37,97,67,30,73,42,0,95,60,95,80,67,39,94,93,52,76,,,80,100,,25,95,0,,,,,,,,,,,,,
11/01/2019,35-44,Female,100,100,52,0,50,100,100,100,75,61,73,55,52,100,0,0,,,46,50,50,70,50,100,100,,50,1,1,0,0,,,,,,,,,,
11/01/2019,35-44,Male,91,76,58,3,57,54,59,70,73,57,86,84,58,77,60,43,66,59,30,73,83,52,54,55,68,38,86,0,,,,,,,,,,,,,
11/01/2019,45-54,Female,100,100,0,0,1,50,53,100,100,0,50,81,81,73,99,40,89,50,9,72,99,84,85,76,100,40,100,0,,,,,,,,,,,,,
11/01/2019,35-44,Female,95,67,50,0,10,,,98,98,0,25,98,,,100,37,98,25,10,75,,25,,,80,30,75,0,,,,,,,,,,,,,
11/01/2019,45-54,Male,100,70,50,30,50,30,50,100,90,42,100,100,100,70,50,60,41,41,60,80,80,100,100,100,100,25,100,0,,,,,,,,,,,,,
11/01/2019,45-54,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2019,35-44,Female,100,46,0,0,49,51,48,82,0,48,100,52,100,48,50,0,,,13,86,86,100,50,96,94,,72,1,0,0,1,0,,,,,,,,,
11/01/2019,35-44,Female,95,84,65,14,62,54,57,,,9,60,72,50,61,71,30,53,46,20,59,62,46,75,68,54,9,91,1,0,,,,,,,,,,,,
11/01/2019,35-44,Female,99,99,2,21,99,49,73,61,72,3,81,99,85,81,41,31,88,49,60,98,99,84,78,88,97,5,91,0,,,,,,,,,,,,,
11/01/2019,35-44,Female,0,100,0,0,0,50,39,75,65,51,100,100,100,100,51,40,100,50,8,100,50,100,100,70,100,15,100,0,,,,,,,,,,,,,
11/01/2019,45-54,Female,50,100,50,0,50,20,50,60,0,0,,0,100,50,0,0,,,42,25,0,60,100,30,100,,50,0,,,,,,,,,,,,,
